CELL_TYPE_ID,CELL_TYPE_NAME
102,Type B cell
103,Type A cell
104,Ureter cell
105,Dopamanergic interplexiform cell
106,GABAnergic interplexiform cell
107,Retina bipolar neuron
108,White fat cell (white adipocyte)
109,Macrophage (Lyve-1+cell)
110,Brown fat cell (brown adipocyte)
111,Corneal epithelial cell
112,Lens epithelial cell
113,Basal external epithelial cell
114,Epithelial reticular cell
115,Beige fat cell (beige adipocyte
117,Extraglomerular mesangial cell
118,Fasciculata cell
119,Fat cell (adipocyte)
120,Fibroblast
121,Follicle epithelial cell
122,Follicular dendritic cell
123,Type G enteroendocrine cell
124,Luminal epithelial cell
125,Primary lens fiber cell
126,GL cell
127,Glandular cell
128,Meibocyte
129,Intrahepatic bile duct epithelial cell
130,Stromal cell
131,Hilar mossy cell
132,Oligodendrocyte
133,Glutamatergic neuron
134,Glial cell
135,Glomerulosa cell
136,Goblet cell
137,Golgi cell
138,Gonadotroph
139,Granular cell
140,Granule cell
141,Granulosa cell
142,Granulosa-lutein cell
143,Hensen's cell
144,Hepatocyte
145,Hilus cell
146,Horizontal cell
147,Immature NK cell (iNK cell)
148,Hyalocyte
149,I cell
150,Inner hair cell
151,Inner phalangeal cell
152,Inner pillar cell
153,Intercalated cell
154,Interdental cell
155,Interdigitating dendritic cell
156,Intermediate cell
157,Interneuron
158,Interstitial cell
159,Medium spiny neuron
160,Magnocellular neurosecretory cell
161,Interstitial cell of Leydig
162,Intraglomerular mesangial cell
163,Ito cell (hepatic stellate cell)
164,K cell
165,Keratinocyte
166,Kolmer-Agduhr neuron
167,Lugaro cell
168,Kupffer cell
169,Langerhans cell
170,Light cell
171,Mammotroph
172,Marginal cell
173,Marginal zone B cell
174,Martinotti cell
175,Melanocyte
176,Merkel cell
177,Mesenchymal cell
178,Microfold cell
179,MO cell
180,Mucous cell
181,Mucus neck cell
182,Muller cell
183,Muscle cell
184,Myoepithelial cell
185,Neuronal brush cell
186,Myofibroblast
187,N cell
188,Peripheral neuron
189,Neuron
190,Nonciliated cuboidal cell
191,Nonciliated secretory cell
192,Nonpigment epithelial cell
193,Neurosecretory cell
194,Odontoblast
195,Odontoclast
196,Olfactory cell
197,Optic nerve cell
198,Outer hair cell
199,Outer phalangeal cell
200,Outer pillar cell
201,Oxyphil cell
202,Paneth cell
203,Parafollicular cell
204,Parietal cell
205,Pericyte
206,Pigment cell
207,Pigment epithelial cell
208,Pinealocyte
209,Pit cell
210,Pituicyte
211,Podocyte
212,PP cell
213,Radial glial cell
214,Prickle cell
215,Principal cell
216,Pyramidal neuron
217,Purkinje cell
218,Pyramidal cell
219,Reticular cell
220,Reticularis cell
221,Rod cell
222,Retinal ganglion cell
223,S cell
225,Ratellite cell
226,Schwann cell
227,Secretory cell
228,Serous cell
229,Sertoli cell
230,Skeletal muscle cell
231,Smooth muscle cell
232,Veiled cell
233,Tanycyte
234,Perineuronal satellite cell
235,Somatotroph
236,Sperm
237,Squamous cell
238,Stellate cell
239,Striatum neuron
240,Stellate reticular cell
241,Striated muscle cell
242,Tufted cell
243,Supporting cell
244,Surface-lining cell
245,Sustentacular cell
246,Theca cell
247,Theca-lutein cell
248,Thyrotroph
249,Tingible body macrophage
250,Transitional epithelial cell
251,Type I hair cell
252,Type I pneumocyte (alveolar type I cell)
253,Type II hair cell
254,Type II pneumocyte (alveolar type II cell)
255,VIP cell
256,Transit amplifying （TA） cell
257,Pericryptal stromal cell
258,Vascular endothelial cell
259,Ciliary muscle cell
260,Stellate neuron
261,Natural killer cell
262,gamma cell
263,T helper1 (Th1) cell
264,T helper2 (Th2) cell
265,T helper3 (Th3) cell
266,T helper9 (Th9) cell
267,T helper17 (Th17) cell
268,T helper22 (Th22) cell
269,Follicular helper (Tfh) T cell
270,Memory T cell
271,Central CD4+ memory T (Tcm) cell
272,Central CD8+ memory T (Tcm) cell
273,Effector CD4+ memory T (Tem) cell
274,Effector CD8+ memory T (Tem) cell
275,Resident memory T (Trm) cell
