Cell_ID,Cell name
348,Choroid plexus cell
349,Motor neuron
350,Muscle motor neuron
351,Association neuron
352,Protoplasmic astrocyte
353,VA1 astrocyte
354,VA2 astrocyte
355,VA3 astrocyte
356,Pre-myelinating oligodendrocyte cell
357,Myelinating oligodendrocyte cell
358,Superbasal epithelial cell
359,Superficial epithelial cell
360,nGnG amacrine cell
361,SEG amacrine cell
362,AII amacrine cell
363,Glycinergic amacrine cell
364,Dopaminergic amacrine cell
365,Cholinergic amacrine cell
366,GABAergic amacrine cell
367,Keratocyte
368,Type9 on cone bipolar cell
369,Type8 on cone bipolar cell
370,Type7 on cone bipolar cell
371,Type6 on cone bipolar cell
372,Type5 on cone bipolar cell
373,Type4 off cone bipolar cell
374,Type3b off cone bipolar cell
375,Type3a off cone bipolar cell
376,Type2 off cone bipolar cell
377,Type1 off cone bipolar cell
378,S cone cell
379,M-S cone cell
380,M cone cell
381,L cone cell
382,Rod bipolar cell
383,Lens fiber cell
384,Transitional lens fiber cell
385,Young lens fiber cell
386,Secondary lens fiber cell
387,Conjunctival epithelial cell
388,Ciliary marginal zone cell
389,Early immature amacrine cell
390,Late immature amacrine cell
391,Displaced amacrine cell
392,Mural granulosa Cell
393,Bistratified cell
394,GABAergic interneuron
395,Cranial visceral motor neuron
396,Visceral motor neuron
397,Somatic motor neuron
398,Non-myelinating Schwann cell
399,Cup cell
400,X/A-like endocrine cell
401,P/D1 cell
402,Alveolar cell
403,Hypertrophic chondrocyte
404,Prehypertrophic chondrocyte
405,Fibrocyte
406,Dendriform cell
407,Endothelial stalk cell
408,Endothelial tip cell
409,Stratified amacrine cell
410,Interstitial fibrocyte
411,Mesenchymal stroma cell
412,Promyelinating Schwann cell
413,Hair matrix cell
414,pro-Natural killer cell (pro-NK cell)
415,pre-Natural killer cell (pre-NK cell)
416,B Lymphocyte Progenitor
417,Follicular B cell
418,Plasmablast
419,Polychromatophilic erythroblast
420,DNES cell
421,Collagen fibril cell
431,Dural border cell
432,Arachnoid barrier cell
433,Cortical cell
434,Hofbauer cell
435,Choroid plexus progenitor
695,Chorionic mesoderm cell
696,Endoderm progenitor cell
697,Mature articular cartilage mesenchymal progenitor cell
698,Chondrogenic cartilage progenitor cell
699,Mesenchymal progenitor
700,Basophilic band cell
701,Basophilic erythroblast
702,Basophilic metamyelocyte
703,Basophilic myeloblast
704,Basophilic myelocyte
705,Basophilic promyelocyte
706,Cardiac stem cell
707,Cardiomyocyte progenitor cell
708,CFU-Bas
709,CFU-EM (megakaryocyte-erythroid progenitor, MEP)
709,Megakaryocyte-erythroid progenitor (MEP)
710,CFU-Eo
711,CFU-GM (granulocyte-monocyte progenitor, GMP)
711,Granulocyte-monocyte progenitor (GMP)
712,CFU-Meg
713,Chondroblast
714,Dental pulp stem cell
715,Embryonic stem cell
716,Eosinophilic band cell
717,Eosinophilic metamyelocyte
718,Eosinophilic myeloblast
719,Eosinophilic myelocyte
720,Eosinophilic promyelocyte
721,Gastric progenitor cell
722,Gastric stem cell
723,Glia progenitor cell
724,Hematopoietic stem cell
725,Hepatoblast
726,Interfollicular epidermis stem cell
727,Large intestinal progenitor cell
728,Large intestinal stem cell
729,Liver progenitor cell
730,Lymphoid stem cell (CLP)
730,Common lymphoid progenitor (CLP)
731,Mammary gland stem cell
732,Megakaryoblast
733,Melanocyte stem cell
734,Mesenchymal stem cell
735,Multipotent hair follicle stem cell
736,Muscle satellite cell
737,Myeloid stem cell (CFU-GEMM, CMP)
737,Common myeloid progenitor (CMP)
738,Myoblast
739,Neural progenitor cell
740,Neural stem cell
741,Neutrophilic band cell
742,Neutrophilic metamyelocyte
743,Neutrophilic myeloblast
744,Neutrophilic myelocyte
745,Neutrophilic promyelocyte
746,Nose stem cell
747,Oogonium
748,Orthochromatic erythroblast
749,Osteoprogenitor cell
750,Osteoclast
751,Oval cell
752,Pancreatic progenitor cell
753,Pancreatic stem cell
754,Periodontal stem cell
755,Primary oocyte
756,Primary spermatocyte
757,Proerythroblast
758,Promonocyte
759,Respiratory stem cell
760,Reticulocyte
761,Secondary oocyte
762,Secondary spermatocyte
763,Small intestinal progenitor cell
764,Small intestinal stem cell
765,Spermatogonium
766,Primordial germ cell
767,Hemangioblast
768,Hematopoietic precursor cell
769,Zygote
770,2-cell stage cell (Blastomere)
771,4-cell stage cell (Blastomere)
772,8-cell stage cell (Blastomere)
773,Blastomere
774,Syncytiotrophoblast
775,Langhans cell 
776,Amnion epithelial cell
777,Spermatogonial stem cell (male germ line stem cell)
778,Amnion cell
779,Mesoblast
780,Trophectoderm cell
781,Erythroid precursor (BFU-E)
782,Monoblast (CFU-M)
783,Myeloblast (CFU-G)
784,Pro-B cell
785,Pre-B cell
786,Immature B cell (Early B cell)
787,Intermediate B cell (transitional stage B cell)
788,Fraction B/C precursor B cell
789,Fraction D precursor B cell
790,Schwann cell precursor
791,Immature Schwan cell
792,LRC +4 stem cell
793,Neural crest cell
794,LRC +5 stem cell
795,Trophoblast cell
796,Epiblast cell
797,Primitive endoderm cell
798,Neural epithelial cell
799,Erythroblast
800,Promyelocyte
801,Myeloid progenitor cell
802,Germline stem cell
803,Adipose-derived stem cell
804,Prepancreatic foregut endoderm cell
805,Acinar progenitor cell
806,Bipotent endocrine/ Duct progenitor cell
807,Endocrine progenitor cell
808,Duct progenitor cell
809,Pancreatic polypeptide progenitor cell
810,Alpha progenitor cell
811,Beta/ delta progenitor cell
812,Early beta progenitor cell
813,Intermediate beta progenitor cell
814,Immature beta progenitor cell
815,Preadipocyte
816,Brown preadipocyte
817,White preadipocyte
818,Dental epithelial stem cell
819,Preameloblast
820,Pre-stellate cell
821,Hepatic mesoderm cell
822,Spermatogonium type A
823,Primitive macrophage
824,Hepatic endoderm cell
825,Hepatic diverticulum cell
826,Immature biliary epithelial cell
827,Endoderm cell
828,Lung progenitor cell
829,Trachea progenitor cell
830,Lung bud progenitor cell
831,Alveolar progenitor cell
832,Bronchial multipotent progenitor cell
833,Bronchiolar progenitor cell
834,Multipotent mesoderm progenitor
835,Mesodermal progenitor cell
836,Prechondrocyte
837,Smooth muscle progenitor cell
838,Angioblast
839,Dermomyotome cell
840,Preadipocyte progenitor cell
841,Outer root sheath progenitor cell
842,Surface ectoderm cell
843,Oral ectoderm cell
844,Maxillary ectoderm cell
845,CFU-E
846,Preosteoblast
847,Osteochondro progenitor cell
848,Mononucleated osteoclast
849,Multinucleated osteoclast
850,Paraxial mesoderm cell
851,Osteoclast precursor cell
852,Common dendritic cell precursor
853,Macrophage-dendritic cell progenitor
854,Pre conventional dendritic cell 
855,Mast cell progenitor
856,Pre-pro B cell
857,Large pre B-cell
858,Small pre B-cell
859,Primitive hematopoietic stem cell
860,Definitive hematopoietic stem cell
861,Definitive myeloid progenitor cell
